date_key,date,year,month_num,month_name,quarter
20240701,2024-07-01,2024,7,Jul,Q3
20240801,2024-08-01,2024,8,Aug,Q3
20240901,2024-09-01,2024,9,Sep,Q3
20241001,2024-10-01,2024,10,Oct,Q4
20241101,2024-11-01,2024,11,Nov,Q4
20241201,2024-12-01,2024,12,Dec,Q4
20250101,2025-01-01,2025,1,Jan,Q1
20250201,2025-02-01,2025,2,Feb,Q1
20250301,2025-03-01,2025,3,Mar,Q1
20250401,2025-04-01,2025,4,Apr,Q2
20250501,2025-05-01,2025,5,May,Q2
20250601,2025-06-01,2025,6,Jun,Q2
20250701,2025-07-01,2025,7,Jul,Q3
20250801,2025-08-01,2025,8,Aug,Q3
20250901,2025-09-01,2025,9,Sep,Q3
20251001,2025-10-01,2025,10,Oct,Q4
20251101,2025-11-01,2025,11,Nov,Q4
20251201,2025-12-01,2025,12,Dec,Q4
20260101,2026-01-01,2026,1,Jan,Q1
20260201,2026-02-01,2026,2,Feb,Q1
20260301,2026-03-01,2026,3,Mar,Q1
20260401,2026-04-01,2026,4,Apr,Q2
20260501,2026-05-01,2026,5,May,Q2
20260601,2026-06-01,2026,6,Jun,Q2
