sku,name,category,region,channel,unit_cost_eur,unit_price_eur,unit_margin_eur,elasticity,lead_time_days,shelf_space,carried_in_plan,recommended_price_eur,price_change_pct,pricing_profit_delta_eur
SKU-0001,BEV 663-A,Beverages,North,Retail,1.78,5.4,3.62,-1.769,19,0.91,0,4.59,-0.15,161.29
SKU-0002,SNA 714-B,Snacks,North,Wholesale,1.41,3.75,2.34,-2.017,20,1.63,0,3.19,-0.15,317.18
SKU-0003,DAI 967-C,Dairy,North,Wholesale,1.55,4.4,2.85,-1.553,19,2.67,0,4.35,-0.0107,0.13
SKU-0004,FRO 816-D,Frozen,East,Retail,2.33,8.44,6.11,-0.881,18,1.95,0,9.71,0.15,364.9
SKU-0005,HOU 859-E,Household,North,Wholesale,3.3,11.04,7.74,-1.005,9,0.62,1,12.7,0.15,1134.02
SKU-0006,PER 354-F,Personal Care,East,Wholesale,3.17,9.04,5.87,-0.948,11,1.79,0,10.4,0.15,440.39
SKU-0007,CON 914-G,Confectionery,North,Retail,1.18,3.9,2.72,-2.453,11,2.5,1,3.31,-0.15,841.56
SKU-0008,PAN 525-H,Pantry,North,Wholesale,1.54,4.98,3.44,-1.557,11,2.19,1,4.3,-0.1356,29.87
SKU-0009,BEV 760-I,Beverages,East,Retail,2.48,7.61,5.13,-1.752,15,1.59,0,6.47,-0.15,108.37
SKU-0010,SNA 508-J,Snacks,South,Wholesale,1.23,3.54,2.31,-1.582,17,0.51,0,3.34,-0.0555,9.77
SKU-0011,DAI 817-K,Dairy,North,Retail,2.0,5.5,3.5,-1.271,15,0.42,0,6.32,0.15,76.29
SKU-0012,FRO 551-L,Frozen,South,Retail,3.03,9.41,6.38,-1.212,3,0.59,1,10.82,0.15,331.18
SKU-0013,HOU 149-M,Household,South,Retail,4.03,12.02,7.99,-0.856,11,2.74,0,13.82,0.15,610.45
SKU-0014,PER 974-N,Personal Care,West,Wholesale,3.14,12.81,9.67,-0.914,3,2.82,1,14.73,0.15,1263.36
SKU-0015,CON 121-O,Confectionery,West,Retail,1.36,4.19,2.83,-1.83,13,1.51,0,3.56,-0.15,92.16
SKU-0016,PAN 519-P,Pantry,Central,Retail,1.23,4.19,2.96,-1.673,11,1.68,1,3.56,-0.15,171.07
SKU-0017,BEV 986-Q,Beverages,Central,Online,2.77,6.73,3.96,-1.799,4,0.68,1,6.24,-0.0733,47.22
SKU-0018,SNA 157-R,Snacks,North,Retail,1.21,5.12,3.91,-2.091,6,0.53,1,4.35,-0.15,534.2
SKU-0019,DAI 364-S,Dairy,North,Wholesale,1.87,4.82,2.95,-1.369,11,0.52,0,5.54,0.15,108.15
SKU-0020,FRO 446-T,Frozen,North,Wholesale,2.05,8.75,6.7,-1.184,5,1.5,1,10.06,0.15,64.83
SKU-0021,HOU 627-U,Household,North,Retail,2.87,10.73,7.86,-0.759,9,1.25,1,12.34,0.15,1077.59
SKU-0022,PER 135-V,Personal Care,Central,Wholesale,3.67,12.45,8.78,-0.884,15,1.14,0,14.32,0.15,396.92
SKU-0023,CON 537-W,Confectionery,South,Online,0.83,4.76,3.93,-1.801,11,2.8,1,4.05,-0.15,641.75
SKU-0024,PAN 648-X,Pantry,South,Retail,1.36,4.66,3.3,-1.198,9,2.07,1,5.36,0.15,71.26
SKU-0025,BEV 980-Y,Beverages,East,Online,2.53,6.66,4.13,-1.834,9,1.04,0,5.66,-0.15,49.65
SKU-0026,SNA 180-Z,Snacks,North,Wholesale,1.67,4.77,3.1,-2.143,5,2.28,1,4.05,-0.15,187.78
SKU-0027,DAI 823-A,Dairy,South,Retail,2.11,5.25,3.14,-1.471,8,3.0,0,6.04,0.15,102.78
SKU-0028,FRO 507-B,Frozen,North,Wholesale,2.53,8.36,5.83,-1.006,15,1.43,0,9.61,0.15,247.53
SKU-0029,HOU 964-C,Household,West,Wholesale,4.17,11.48,7.31,-1.003,20,2.95,0,13.2,0.15,2075.33
SKU-0030,PER 348-D,Personal Care,East,Wholesale,3.95,12.72,8.77,-0.734,8,2.8,1,14.63,0.15,1175.53
SKU-0031,CON 799-E,Confectionery,Central,Wholesale,1.37,3.91,2.54,-1.71,19,0.59,0,3.32,-0.15,128.28
SKU-0032,PAN 726-F,Pantry,West,Online,1.53,4.57,3.04,-1.368,15,1.8,0,5.26,0.15,36.25
SKU-0033,BEV 217-G,Beverages,South,Retail,2.21,7.78,5.57,-1.853,14,2.15,1,6.61,-0.15,564.45
SKU-0034,SNA 133-H,Snacks,Central,Wholesale,0.92,5.32,4.4,-1.522,9,2.57,1,4.52,-0.15,461.26
SKU-0035,DAI 862-I,Dairy,East,Wholesale,1.95,5.88,3.93,-1.127,14,1.99,0,6.76,0.15,346.57
SKU-0036,FRO 726-J,Frozen,West,Wholesale,2.43,5.65,3.22,-1.138,4,1.28,1,6.5,0.15,306.15
SKU-0037,HOU 494-K,Household,Central,Online,2.73,9.71,6.98,-0.72,10,1.5,1,11.17,0.15,736.59
