date_key,sku,category,region,channel,units,revenue_eur,cogs_eur,gross_margin_eur
20240701,SKU-0001,Beverages,North,Retail,72.6,392.04,129.23,262.81
20240801,SKU-0001,Beverages,North,Retail,90.4,488.16,160.91,327.25
20240901,SKU-0001,Beverages,North,Retail,84.4,455.76,150.23,305.53
20241001,SKU-0001,Beverages,North,Retail,86.8,468.72,154.5,314.22
20241101,SKU-0001,Beverages,North,Retail,86.3,466.02,153.61,312.41
20241201,SKU-0001,Beverages,North,Retail,124.0,669.6,220.72,448.88
20250101,SKU-0001,Beverages,North,Retail,83.2,449.28,148.1,301.18
20250201,SKU-0001,Beverages,North,Retail,148.6,802.44,264.51,537.93
20250301,SKU-0001,Beverages,North,Retail,159.9,863.46,284.62,578.84
20250401,SKU-0001,Beverages,North,Retail,196.8,1062.72,350.3,712.42
20250501,SKU-0001,Beverages,North,Retail,83.7,451.98,148.99,302.99
20250601,SKU-0001,Beverages,North,Retail,135.1,729.54,240.48,489.06
20250701,SKU-0001,Beverages,North,Retail,143.2,773.28,254.9,518.38
20250801,SKU-0001,Beverages,North,Retail,67.2,362.88,119.62,243.26
20250901,SKU-0001,Beverages,North,Retail,84.3,455.22,150.05,305.17
20251001,SKU-0001,Beverages,North,Retail,57.7,311.58,102.71,208.87
20251101,SKU-0001,Beverages,North,Retail,108.2,584.28,192.6,391.68
20251201,SKU-0001,Beverages,North,Retail,84.0,453.6,149.52,304.08
20260101,SKU-0001,Beverages,North,Retail,153.1,826.74,272.52,554.22
20260201,SKU-0001,Beverages,North,Retail,188.7,1018.98,335.89,683.09
20260301,SKU-0001,Beverages,North,Retail,150.4,812.16,267.71,544.45
20260401,SKU-0001,Beverages,North,Retail,134.6,726.84,239.59,487.25
20260501,SKU-0001,Beverages,North,Retail,113.9,615.06,202.74,412.32
20260601,SKU-0001,Beverages,North,Retail,131.6,710.64,234.25,476.39
20240701,SKU-0002,Snacks,North,Wholesale,193.0,723.75,272.13,451.62
20240801,SKU-0002,Snacks,North,Wholesale,238.1,892.88,335.72,557.16
20240901,SKU-0002,Snacks,North,Wholesale,164.9,618.38,232.51,385.87
20241001,SKU-0002,Snacks,North,Wholesale,226.0,847.5,318.66,528.84
20241101,SKU-0002,Snacks,North,Wholesale,260.0,975.0,366.6,608.4
20241201,SKU-0002,Snacks,North,Wholesale,302.2,1133.25,426.1,707.15
20250101,SKU-0002,Snacks,North,Wholesale,214.5,804.38,302.44,501.94
20250201,SKU-0002,Snacks,North,Wholesale,242.7,910.12,342.21,567.91
20250301,SKU-0002,Snacks,North,Wholesale,281.5,1055.62,396.92,658.7
20250401,SKU-0002,Snacks,North,Wholesale,244.0,915.0,344.04,570.96
20250501,SKU-0002,Snacks,North,Wholesale,204.7,767.62,288.63,478.99
20250601,SKU-0002,Snacks,North,Wholesale,291.3,1092.38,410.73,681.65
20250701,SKU-0002,Snacks,North,Wholesale,189.6,711.0,267.34,443.66
20250801,SKU-0002,Snacks,North,Wholesale,192.2,720.75,271.0,449.75
20250901,SKU-0002,Snacks,North,Wholesale,168.0,630.0,236.88,393.12
20251001,SKU-0002,Snacks,North,Wholesale,328.3,1231.12,462.9,768.22
20251101,SKU-0002,Snacks,North,Wholesale,270.3,1013.62,381.12,632.5
20251201,SKU-0002,Snacks,North,Wholesale,295.3,1107.38,416.37,691.01
20260101,SKU-0002,Snacks,North,Wholesale,103.5,388.12,145.94,242.18
20260201,SKU-0002,Snacks,North,Wholesale,182.4,684.0,257.18,426.82
20260301,SKU-0002,Snacks,North,Wholesale,159.5,598.12,224.9,373.22
20260401,SKU-0002,Snacks,North,Wholesale,191.4,717.75,269.87,447.88
20260501,SKU-0002,Snacks,North,Wholesale,196.9,738.38,277.63,460.75
20260601,SKU-0002,Snacks,North,Wholesale,119.6,448.5,168.64,279.86
20240701,SKU-0003,Dairy,North,Wholesale,112.4,494.56,174.22,320.34
20240801,SKU-0003,Dairy,North,Wholesale,50.8,223.52,78.74,144.78
20240901,SKU-0003,Dairy,North,Wholesale,74.3,326.92,115.16,211.76
20241001,SKU-0003,Dairy,North,Wholesale,58.6,257.84,90.83,167.01
20241101,SKU-0003,Dairy,North,Wholesale,74.9,329.56,116.1,213.46
20241201,SKU-0003,Dairy,North,Wholesale,92.6,407.44,143.53,263.91
20250101,SKU-0003,Dairy,North,Wholesale,48.1,211.64,74.56,137.08
20250201,SKU-0003,Dairy,North,Wholesale,44.6,196.24,69.13,127.11
20250301,SKU-0003,Dairy,North,Wholesale,34.9,153.56,54.1,99.46
20250401,SKU-0003,Dairy,North,Wholesale,0.0,0.0,0.0,0.0
20250501,SKU-0003,Dairy,North,Wholesale,64.1,282.04,99.35,182.69
20250601,SKU-0003,Dairy,North,Wholesale,60.7,267.08,94.08,173.0
20250701,SKU-0003,Dairy,North,Wholesale,108.9,479.16,168.8,310.36
20250801,SKU-0003,Dairy,North,Wholesale,121.2,533.28,187.86,345.42
20250901,SKU-0003,Dairy,North,Wholesale,151.8,667.92,235.29,432.63
20251001,SKU-0003,Dairy,North,Wholesale,79.0,347.6,122.45,225.15
20251101,SKU-0003,Dairy,North,Wholesale,95.7,421.08,148.34,272.74
20251201,SKU-0003,Dairy,North,Wholesale,59.7,262.68,92.54,170.14
20260101,SKU-0003,Dairy,North,Wholesale,50.0,220.0,77.5,142.5
20260201,SKU-0003,Dairy,North,Wholesale,64.1,282.04,99.35,182.69
20260301,SKU-0003,Dairy,North,Wholesale,57.5,253.0,89.12,163.88
20260401,SKU-0003,Dairy,North,Wholesale,70.2,308.88,108.81,200.07
20260501,SKU-0003,Dairy,North,Wholesale,51.3,225.72,79.52,146.2
20260601,SKU-0003,Dairy,North,Wholesale,123.7,544.28,191.74,352.54
20240701,SKU-0004,Frozen,East,Retail,64.3,542.69,149.82,392.87
20240801,SKU-0004,Frozen,East,Retail,61.5,519.06,143.3,375.76
20240901,SKU-0004,Frozen,East,Retail,58.6,494.58,136.54,358.04
20241001,SKU-0004,Frozen,East,Retail,61.8,521.59,143.99,377.6
20241101,SKU-0004,Frozen,East,Retail,56.4,476.02,131.41,344.61
20241201,SKU-0004,Frozen,East,Retail,61.1,515.68,142.36,373.32
20250101,SKU-0004,Frozen,East,Retail,79.1,667.6,184.3,483.3
20250201,SKU-0004,Frozen,East,Retail,78.9,665.92,183.84,482.08
20250301,SKU-0004,Frozen,East,Retail,92.7,782.39,215.99,566.4
20250401,SKU-0004,Frozen,East,Retail,52.7,444.79,122.79,322.0
20250501,SKU-0004,Frozen,East,Retail,96.8,816.99,225.54,591.45
20250601,SKU-0004,Frozen,East,Retail,119.7,1010.27,278.9,731.37
20250701,SKU-0004,Frozen,East,Retail,65.6,553.66,152.85,400.81
20250801,SKU-0004,Frozen,East,Retail,122.3,1032.21,284.96,747.25
