metric,value
revenue_eur,4788971.2
cogs_eur,1531464.14
gross_margin_eur,3257507.06
gross_margin_pct,0.6802
yoy_growth,0.0987
aov_eur,7401.81
otif_service,0.8573
n_skus,200
n_customers,52
expected_uplift_eur,136972.2
expected_uplift_pct,0.0841
pricing_uplift_eur,95609.42
assortment_uplift_eur,1023.66
routing_uplift_eur,40339.12
assortment_budget_eur,10557.54
assortment_full_capital_eur,26393.86
assortment_capital_used_eur,10556.95
assortment_margin_captured_eur,935526.53
assortment_skus_carried,108
price_guardrail,0.15
forecast_mase,0.3757
next_month_revenue_eur,204617.83
